MasterID,date,Direction.of.Travel,SVL_1stMeasurement,SVL_2ndMeasurement,TL,Weight,Volume.disp,Sex,Age,gravid,next.date,next.direction.of.travel,next.first.svl,next.second.svl,next.tl.svl,next.weight,next.vol.disp,next.sex,next.age,next.gravid,days.between.captures,is.pond.growth,is.upland.growth,in.out.out.in,is.training
722,11/26/2014,IN,40.6,NA,67.4,0.87,0.6,U,U,U,12/1/2014,OUT,39.8,NA,65.5,0.81,1,U,U,N,5,1,0,1,1
690,11/22/2014,IN,40,NA,78.2,1.01,1,U,U,N,12/22/2014,OUT,41.5,NA,69.7,1.14,1.4,U,U,N,30,1,0,1,1
16,11/30/2010,OUT,45,NA,71.2,1.25,NA,U,Y,N,11/27/2011,OUT,56.2,NA,89.1,2.68,2.6,M,A,N,362,0,0,0,0
393,4/5/2017,OUT,37.1,36.3,67.5,1.32,NA,U,M,N,11/13/2018,OUT,57.8,57.6,114.8,5.57,NA,F,A,Y,587,0,0,0,0
291,1/27/2012,IN,46.7,NA,74.2,1.32,1.4,U,A,N,2/1/2012,OUT,45.4,NA,72.1,1.31,1,U,A,N,5,1,0,1,1
882,11/22/2014,IN,49.4,NA,85.4,1.44,1.8,M,Y,N,10/22/2015,IN,49.3,NA,91.2,2.78,2.8,U,A,N,334,0,0,0,0
647,11/23/2014,OUT,48.4,NA,83.7,1.47,1,M,U,N,10/27/2015,IN,45.2,NA,87.3,2.53,1.8,M,A,N,338,1,0,1,0
663,11/23/2014,OUT,45,NA,78.7,1.5,1.4,M,U,N,10/25/2015,IN,59.4,NA,98.2,3.2,3.6,M,A,N,336,1,0,1,0
695,11/22/2014,OUT,49.6,NA,83,1.53,1.6,U,U,N,3/20/2015,IN,49.1,NA,92.5,3.47,3.2,U,U,N,118,0,1,1,1
235,12/27/2011,IN,49.6,NA,86.5,1.59,2.8,M,A,N,12/25/2012,IN,47.1,NA,100.6,2.35,2.4,M,A,N,364,0,1,1,0
698,11/22/2014,OUT,47.1,NA,82,1.61,1.4,U,U,N,12/23/2014,OUT,53.8,NA,98.5,2.85,3,U,A,N,31,0,0,0,1
863,3/28/2016,N/A,40.3,NA,69.5,1.62,1.6,U,M,N,4/2/2016,OUT,37.5,NA,63.2,1.39,1.4,U,M,N,5,0,0,0,1
710,12/6/2014,OUT,43.2,NA,79.2,1.62,1.7,M,U,N,11/26/2015,OUT,45.9,NA,89.5,2.39,2.2,U,A,N,355,0,0,0,0
491,12/19/2017,OUT,45,44.8,85.5,1.64,NA,U,U,N,11/2/2018,IN,49.4,48,94.6,2.79,NA,M,A,N,318,0,1,1,0
647,10/28/2014,IN,47.5,NA,80.2,1.64,1.6,M,U,N,11/23/2014,OUT,48.4,NA,83.7,1.47,1,M,U,N,26,1,0,1,1
213,11/10/2011,IN,47.8,NA,83.3,1.65,NA,M,A,N,12/16/2012,IN,45.2,NA,82.1,2.2,2.4,M,A,N,402,1,0,1,0
594,11/23/2014,OUT,47.9,NA,84,1.66,1.4,M,U,N,10/15/2015,OUT,55.7,NA,101.7,3.65,3.2,M,A,N,326,1,0,1,0
732,1/13/2015,OUT,44.5,NA,82.8,1.66,1.8,U,U,N,2/17/2015,IN,49.7,NA,86,1.57,2.2,U,U,N,35,0,1,1,1
725,12/6/2014,IN,47.9,NA,84.3,1.68,1.7,M,U,N,12/21/2014,OUT,45.9,NA,80.1,1.52,1.8,M,U,N,15,1,0,1,1
661,11/23/2014,IN,49.4,NA,86.5,1.68,1.8,M,U,N,12/7/2014,OUT,48.4,NA,86.6,1.75,1.7,M,U,N,14,1,0,1,1
