MasterID,date,mean.svl,bci,next.bci
2,11/4/2010,55.95,0.863563907,0.621593124
5,11/4/2010,55.88,0.096734941,-0.023879577
8,11/4/2010,65.66,0.188622394,0.280655626
10,11/4/2010,61.98,0.5041184,-0.157995799
12,11/4/2010,62.5,0.575068394,0.046472117
13,11/4/2010,59.16,0.761388706,0.158236989
15,11/4/2010,42.8,0.198661689,-0.117978974
16,11/4/2010,35.76,0.277146702,-0.492187302
18,11/4/2010,44.37,0.00732963,0.218208724
20,11/4/2010,59,0.420577454,-0.513311124
23,11/4/2010,52.2,0.045986552,-0.306710075
28,11/4/2010,64.2,0.495429324,0.848997352
29,11/4/2010,60.5,0.504458366,0.222146536
30,11/4/2010,56.12,-0.057609066,0.01147429
34,11/4/2010,56.02,0.640222766,-0.234656002
35,11/4/2010,67.75,0.387964708,0.084304627
36,11/4/2010,57,0.668421157,-0.185281059
37,11/4/2010,45.8,0.058122154,0.577687187
38,11/4/2010,41.8,0.127725165,-0.213587613
40,11/4/2010,61.9,0.102401013,0.070208767
41,11/4/2010,63.8,0.236536192,-0.064802567
47,11/4/2010,61.5,0.621914906,-0.265966724
52,11/4/2010,57.4,0.813985603,0.347946526
53,11/4/2010,61.6,0.704241632,-0.379475838
54,11/4/2010,54.4,0.230606299,0.37523148
58,11/4/2010,56.9,0.598997836,0.672299559
60,11/4/2010,58.6,0.151633986,0.232863517
65,11/5/2010,61.69,0.374603045,0.210217782
28,11/5/2010,58.51,0.848997352,0.288964413
67,11/15/2010,63.86,0.620347422,-0.30020962
68,11/15/2010,59.26,0.374495809,-0.319416239
69,11/15/2010,56,0.57764629,0.292173521
75,11/29/2010,61.15,0.137535897,-0.071112504
77,11/29/2010,54.5,0.449065199,0.09693877
78,11/29/2010,58.2,-0.080941838,0.017435837
16,11/30/2010,45,-0.492187302,-0.254194989
85,11/30/2010,61.9,-0.025432358,-0.239003888
86,11/30/2010,62.8,-0.001636251,-0.289932037
87,11/30/2010,61,-0.36626275,-0.589002663
52,11/30/2010,57.7,0.347946526,0.22864641
90,11/30/2010,60.7,0.096741423,-0.312146479
91,11/30/2010,59.1,0.291840154,-0.455650961
93,11/30/2010,58.5,0.156318637,-0.346953584
98,12/17/2010,59.02,-0.193463949,-0.12894578
102,12/17/2010,64.3,-0.366705559,-0.263200425
103,12/18/2010,52.15,0.230650434,-0.007644154
105,12/18/2010,69.5,-0.476776026,-0.192883058
107,12/18/2010,60,-0.031734166,0.210743852
68,12/31/2010,60,-0.319416239,-0.277687327
113,12/31/2010,47.4,-0.268146693,-0.260036859
118,1/1/2011,50.5,-0.279839486,-0.215937
102,1/1/2011,58.8,-0.263200425,-0.037908593
120,1/1/2011,49.2,0.340676767,-0.092555988
122,1/1/2011,54.4,0.097074906,-0.381640822
